id,target,context
17720,nozzle,C03
17721,painted wall,C03
17722,plaster,C03
17723,plyboard,C03
17724,solar panel,C03
17725,stain,C03
17726,topcoat,C03
17727,varnished wall,C03
17728,bar,G06
17729,bar place,G06
17730,coated surface,G06
17731,color paper,G06
17732,extruded inner layer,G06
17733,heat accumulative composition,G06
17734,impervious plastic wall,G06
17735,inner structural layer,G06
17736,laminate paint,G06
17737,laminate visualizer,G06
17738,layered wall,G06
17739,liquid proof material,G06
17740,multilayer wall structure,G06
17741,paper,G06
17742,pie,G06
17743,polymer composition,G06
17744,polymeric inner layer,G06
17745,synthetic material,G06
17746,uncover chords,G06
17747,uncover wall,G06
17748,wall clock,G06
17749,wall stickers,G06
17750,acid copolymer layer,B32
17751,coating laminating,B32
17752,coating lamination,B32
17753,coding method,B32
17754,compression chamber,B32
17755,eye layers,B32
17756,guide wire,B32
17757,heart transplant method,B32
17758,heat lamination,B32
17759,laminate,B32
17760,laminating machine,B32
17761,laminating method,B32
17762,lamination machine,B32
17763,lamination method,B32
17764,lamination procedure,B32
17765,lamination process,B32
17766,laminator,B32
17767,metal film,B32
17768,method for lamination,B32
17769,operating procedure,B32
17770,packaging,B32
17771,payment method,B32
17772,shunt method,B32
17773,translucent panel,B32
17774,wet bonding lamination,B32
17775,adhesive,G02
17776,adhesive member,G02
17777,basic method,G02
17778,cartridge casing,G02
17779,coating means,G02
17780,coating method,G02
17781,dipping,G02
17782,dispenser,G02
17783,dispenser method,G02
17784,flexible packaging,G02
17785,frame,G02
17786,frame member,G02
17787,laminate method,G02
17788,laminating method,G02
17789,lamination,G02
17790,lamination process,G02
17791,lamination shop,G02
17792,lamination technique,G02
17793,laminator,G02
17794,manufacturing material in multiple layers,G02
17795,method acting,G02
17796,method reference,G02
17797,multilayer slide coating,G02
17798,plastic sheet,G02
17799,printing,G02
17800,printing method,G02
17801,printing process,G02
17802,printing process method,G02
17803,remove cover layer,G02
17804,remove cover material,G02
17805,resin sheet,G02
17806,sheet heating machine,G02
17807,sheet method,G02
17808,spray method,G02
17809,spray process,G02
17810,spray process method,G02
17811,stratification method,G02
17812,tape,G02
17813,treatment method,G02
17814,barcode scanners,G02
17815,beam balamce,G02
17816,beam engine,G02
17817,bean bag,G02
17818,coating material,G02
17819,cutting glass,G02
17820,cylindrical light source,G02
17821,glass jar,G02
17822,laser beam expander,G02
17823,laser beam homogenizer,G02
17824,laser beam integrator,G02
17825,laser device,G02
17826,laser light optic,G02
17827,laser light source,G02
17828,laser optical,G02
17829,laser optical system,G02
17830,laser radiation optical,G02
17831,narrow beam of light,G02
17832,optical amplification,G02
17833,optical density,G02
17834,optical fiber laser,G02
17835,optical laser,G02
17836,optical sensor,G02
17837,parallel beam,G02
17838,polarization laser,G02
17839,polarization laser optical,G02
17840,polarization optic,G02
17841,polarization optical,G02
17842,welding and cutting,G02
17843,channel,H01
17844,draw line,H01
17845,electricity carrier unit,H01
17846,feeder line,H01
17847,food carrier,H01
17848,high current,H01
17849,laser processing unit,H01
17850,lateral power diode,H01
17851,lateral power superjunction,H01
17852,lateral power transistor,H01
17853,lateral reflection,H01
17854,lateral shift,H01
17855,light emitting,H01
17856,material processing,H01
17857,memory,H01
17858,metal oxide,H01
17859,mosfet,H01
17860,power line,H01
17861,power mos lateral transistors,H01
17862,power rangers,H01
17863,power transistor,H01
17864,sensor,H01
17865,transducer,H01
17866,vertical,H01
17867,acids,G03
17868,alkyl esters,G03
17869,breath of light,G03
17870,coherent light,G03
17871,coherent light emitted,G03
17872,diameter area,G03
17873,dispertive angle,G03
17874,distance light,G03
17875,esters,G03
17876,length,G03
17877,length ball,G03
17878,length converter,G03
17879,length laser,G03
17880,length laser light,G03
17881,length of body,G03
17882,length of laser,G03
17883,length of light,G03
17884,light,G03
17885,light beam emitted,G03
17886,light emitted,G03
17887,light length,G03
17888,light mirror,G03
17889,light path length,G03
17890,light source length,G03
17891,light speed,G03
17892,light thickness,G03
17893,light wave diameter,G03
17894,light wave length,G03
17895,monochromatic emitted,G03
17896,monochromatic light,G03
17897,optical fiber beacon,G03
17898,output,G03
17899,plate optical waveguide distance,G03
17900,reflecting surface distance,G03
17901,slit condition,G03
17902,spot,G03
17903,blood oxygen level,B21
17904,component leveller,B21
17905,device for establishing a horizontal plane,B21
17906,ferrite steel plate,B21
17907,level crossing,B21
17908,level measuring tools,B21
17909,level of oxygen in blood,B21
17910,leveller,B21
17911,leveller diagram,B21
17912,leveller machine,B21
17913,leveller tools,B21
17914,levellers,B21
17915,levelling rod,B21
17916,levels of market segmentation,B21
17917,roll,B21
17918,rolled furnace,B21
17919,rolling,B21
17920,rolling furnace,B21
17921,rolling zone,B21
17922,soil level,B21
17923,spirit level,B21
17924,steel plate rolling process,B21
17925,straightening machine,B21
17926,strip mill,B21
17927,water,B21
17928,zone,B21
17929,auxiliary,F02
17930,barcode,F02
17931,blood component level,F02
17932,blood level detector,F02
17933,bubble level,F02
17934,bubble sort,F02
17935,construction tool,F02
17936,injection device,F02
17937,internal combustion,F02
17938,level bar,F02
17939,level of the drug,F02
17940,leveler,F02
17941,leveler scale,F02
17942,leveling system,F02
17943,leveller,F02
17944,leveller engaging portion,F02
17945,levelling system,F02
17946,limiter,F02
17947,oxygen level,F02
17948,pedal angle,F02
17949,roll leveller,F02
17950,sensor,F02
17951,spirit level,F02
17952,torque regulation,F02
17953,dental,A61
17954,fatigue,A61
17955,life analysis,A61
17956,life evaluation,A61
17957,life has beauty,A61
17958,life is bad,A61
17959,life is good,A61
17960,life test,A61
17961,life testing apparatus,A61
17962,life testing detection control circuit,A61
17963,life testing machine,A61
17964,run,A61
17965,sporting life,A61
17966,test,A61
17967,test battery,A61
17968,test speed,A61
17969,testing,A61
17970,testing factors,A61
17971,testing the life,A61
17972,testing the life of a leakage current protection device,A61
17973,thermal gradients,A61
17974,training,A61
17975,arm lift surgery,B62
17976,bladder,B62
17977,cleaner trolley,B62
17978,element brought,B62
17979,element extending,B62
17980,element for brought,B62
17981,element for extending,B62
17982,element lift,B62
17983,elements brought,B62
17984,elements extending,B62
17985,elements of communication,B62
17986,elements of wireless router,B62
17987,guide rails,B62
17988,lift element,B62
17989,lift eyebrow exercise,B62
17990,lifting device,B62
17991,lifting element,B62
17992,lifting elements,B62
17993,lifting equipment,B62
17994,lifting member,B62
17995,lifting system,B62
17996,metallic element,B62
17997,snow surfer,B62
17998,steerable transporting trolley,B62
17999,suspension bracket,B62
18000,telescopic,B62
18001,tube,B62
18002,vital element,B62
18003,absorbent,D01
18004,cam,D01
18005,cam element,D01
18006,car lift,D01
18007,carriage,D01
18008,device,D01
18009,each lifting element,D01
18010,elemental sulfur,D01
18011,elementary school,D01
18012,equipment,D01
18013,lift component,D01
18014,lift end,D01
18015,lift part,D01
18016,lifting element,D01
18017,lifting end,D01
18018,lifting member,D01
18019,lifting module,D01
18020,material discarded,D01
18021,member,D01
18022,mercury element,D01
18023,movable lifting element,D01
18024,part,D01
18025,scissor lift,D01
18026,uplift element,D01
18027,assembly,E02
18028,lift,E02
18029,lifting element,E02
18030,airlifting,A01
18031,controlling finger,A01
18032,crop lifters,A01
18033,crop lifting apparatus,A01
18034,crop lifting fingers,A01
18035,drive,A01
18036,finger nails,A01
18037,finger swipe gestures,A01
18038,harvesting grains,A01
18039,harvesting machinery,A01
18040,lifting through a crane,A01
18041,moving an element,A01
18042,moving finger,A01
18043,mower,A01
18044,power,A01
18045,pulling an element,A01
18046,pushing an element,A01
18047,pushing finger,A01
18048,stopping finger,A01
18049,support bar,A01
18050,weight lifter,A01
18051,weight lifting,A01
18052,carrier,B41
18053,lift finger,B41
18054,caddy,G11
18055,catcher arm,G11
18056,drive,G11
18057,drive mechanism,G11
18058,driveaway,G11
18059,drivein,G11
18060,finger,G11
18061,finger counter,G11
18062,fingerprint,G11
18063,lift,G11
18064,lift bail,G11
18065,lifter member,G11
18066,lifting,G11
18067,lifting arm,G11
18068,lifting member,G11
18069,linger,G11
18070,new member,G11
18071,pair of lifting fingers,G11
18072,pivot,G11
18073,pivot finger,G11
18074,player,G11
18075,quick attach mechanism,G11
18076,right hand,G11
18077,trigger catch,G11
18078,typical lifting finger,G11
18079,weight lift,G11
18080,dropping load,B66
18081,elevate load,B66
18082,force,B66
18083,front load machine,B66
18084,lift force,B66
18085,lift the load,B66
18086,lifting force,B66
18087,lifting heavy structures,B66
18088,lifting legend codes,B66
18089,lifting legs,B66
18090,lifting legs yoga,B66
18091,lifting load,B66
18092,lifting shipment,B66
18093,load,B66
18094,load current,B66
18095,load lifting,B66
18096,load lifting apparatus,B66
18097,load lifting device,B66
18098,loading system,B66
18099,pressure compensator,B66
18100,rope actuating winch,B66
18101,same,B66
18102,same fluid,B66
18103,traffic demand analyzing,B66
18104,uplifting force,B66
18105,upper elevator,B66
18106,weight lifting,B66
18107,work load,B66
18108,buoyancy,E01
18109,crane,E01
18110,down thrust,E01
18111,dropping load,E01
18112,face lifting,E01
18113,force borne,E01
18114,force exerted,E01
18115,hoisting load,E01
18116,hydraulic forces,E01
18117,hydraulic tension,E01
18118,hydraulic truck,E01
18119,lifting belt,E01
18120,lifting capacity,E01
18121,lifting forces,E01
18122,lifting right hand,E01
18123,lifting straps,E01
18124,lifting tension,E01
18125,load,E01
18126,load borne,E01
18127,load exerted,E01
18128,load lifting,E01
18129,load lifting apparatus,E01
18130,load lifting device,E01
18131,loading dose,E01
18132,maximum rated load lifting,E01
18133,predetermined force,E01
18134,predetermined load,E01
18135,pressure,E01
18136,pulling loads,E01
18137,raising load,E01
18138,slight thrust,E01
18139,sufficient force,E01
18140,sufficient load,E01
18141,suspension load,E01
18142,tension,E01
18143,torque,E01
18144,traction load,E01
18145,vertical line,E01
18146,vertical load,E01
18147,arylglyoxyalkyl acrylates,C07
18148,color changing films,C07
18149,color halide element,C07
18150,color halide material,C07
18151,color photographic material,C07
18152,electromagnetic radiation sensitive composition,C07
18153,food preparation,C07
18154,hypersensitivity reaction,C07
18155,image sensor,C07
18156,inorganic layer,C07
18157,light responsive composition,C07
18158,luminescent layer,C07
18159,mechanical forces,C07
18160,organic el display device,C07
18161,photocurables,C07
18162,photographic element,C07
18163,photographic emulsion,C07
18164,photographic film,C07
18165,photographic halide element,C07
18166,photographic halide material,C07
18167,photographic material,C07
18168,photoreactive preparation,C07
18169,photosensitive composition,C07
18170,photosensitive emulsion,C07
18171,photosensitive material,C07
18172,physical separation,C07
18173,radiation sensitive composition,C07
18174,silver halide,C07
18175,skin layer,C07
18176,solar cells,C07
18177,aldohexose series,C12
18178,bacterial enzymes,C12
18179,cellulase,C12
18180,enzymes,C12
18181,fungal enzymes,C12
18182,heme containing peroxidases,C12
18183,laccase,C12
18184,lignases,C12
18185,lignin,C12
18186,lignin breakdown,C12
18187,lignin degrading enzymes,C12
18188,lignin modifying enzyme,C12
18189,lignin modifying enzymes,C12
18190,lignin peroxidases,C12
18191,ligninolytic enzymes,C12
18192,lignocellulolytic enzyme,C12
18193,link editor,C12
18194,novel books,C12
18195,novel extracellular enzymes,C12
18196,novel procedure,C12
18197,novel process,C12
18198,object files,C12
18199,peroxidase,C12
18200,plant derived enzymes,C12
18201,proteases,C12
18202,angular change,G02
18203,change,G02
18204,change of clothes,G02
18205,climate change,G02
18206,continuous change,G02
18207,corresponding change,G02
18208,dimension box,G02
18209,incremental change,G02
18210,linear development,G02
18211,linear dimensional change,G02
18212,linear fashion,G02
18213,linear function,G02
18214,linear optical,G02
18215,linear pair,G02
18216,linear relation,G02
18217,linear variation,G02
18218,linearity,G02
18219,non linear change,G02
18220,not a proportional relationship,G02
18221,optical system,G02
18222,permanent change,G02
18223,progresses straight,G02
18224,proportional change,G02
18225,shift,G02
18226,small change,G02
18227,step change,G02
18228,uniform change,G02
18229,uniform variation,G02
18230,uniformity,G02
18231,zero linear change,G02
18232,zero uniform change,G02
18233,accounting systems,B23
18234,circuit,B23
18235,circuit control,B23
18236,circuit devices,B23
18237,circuit devices systems,B23
18238,circuit systems,B23
18239,circuits,B23
18240,circuits systems,B23
18241,different dental implant systems,B23
18242,digestive systems,B23
18243,electronic,B23
18244,linear apparatus,B23
18245,linear device,B23
18246,linear devices,B23
18247,linear drive motor,B23
18248,linear programming,B23
18249,linear skull fracture,B23
18250,linear systems,B23
18251,linear theory of social change,B23
18252,non linear systems,B23
18253,optical systems,B23
18254,profiled workpieces,B23
18255,rotary system,B23
18256,rotating tool,B23
18257,screw swivel forming,B23
18258,straight path system,B23
18259,systems,B23
18260,tool receptacles,B23
18261,unidirectional systems,B23
18262,adaptive filter,G06
18263,adaptive immunity,G06
18264,adaptive linear combiner,G06
18265,adaptive linear filter,G06
18266,algebraic equations,G06
18267,automatic linear,G06
18268,coding,G06
18269,data computing,G06
18270,data networks,G06
18271,data processing,G06
18272,data systems,G06
18273,databases,G06
18274,dynamic linear,G06
18275,equalizer,G06
18276,finite difference method,G06
18277,graphs,G06
18278,linear,G06
18279,linear graph,G06
18280,linear model,G06
18281,linear problems,G06
18282,linear process systems,G06
18283,linear processes,G06
18284,linear system theory,G06
18285,linear techniques,G06
18286,linearity,G06
18287,matrices,G06
18288,matrix computing,G06
18289,matrix problems,G06
18290,matrix processing,G06
18291,method maker,G06
18292,nonlinear,G06
18293,nonlinear systems,G06
18294,one dimensional system,G06
18295,process systems,G06
18296,processes,G06
18297,recursion estimator,G06
18298,representations networks,G06
18299,representations systems,G06
18300,system software,G06
18301,systems,G06
18302,theory of relativity,G06
18303,article track,B01
18304,articles,B01
18305,chambers,B01
18306,container tracking,B01
18307,containers,B01
18308,fluid reservoirs,B01
18309,inlets,B01
18310,liquid,B01
18311,liquid chambers,B01
18312,liquid containers,B01
18313,liquid containing cylinder,B01
18314,liquid containing drum,B01
18315,liquid feeder,B01
18316,liquid reservoir,B01
18317,liquid storage chambers,B01
18318,liquid tank,B01
18319,liquid tanks,B01
18320,market liquidity,B01
18321,outlets,B01
18322,reserve power system,B01
18323,reservoirs,B01
18324,respective containers,B01
18325,rotatable containers,B01
18326,soil liquefaction,B01
18327,tank,B01
18328,tank top,B01
18329,tube,B01
18330,vessels,B01
18331,workpiece containers,B01
18332,distinct fluids,F01
18333,fluid reservoirs,F01
18334,fuel tank capacity,F01
18335,liquid,F01
18336,liquid assets,F01
18337,liquid compartments,F01
18338,liquid contained system,F01
18339,liquid contained systems,F01
18340,liquid containing system,F01
18341,liquid containing systems,F01
18342,liquid crystal display,F01
18343,liquid fluid cartridges,F01
18344,liquid metal,F01
18345,liquid paraffin,F01
18346,liquid receivers,F01
18347,liquid supply vessel,F01
18348,microchannels,F01
18349,outlets,F01
18350,reservation chart,F01
18351,reservation enquiry,F01
18352,shells,F01
18353,solution reservoirs,F01
18354,storage chambers,F01
18355,supply chambers,F01
18356,supply reservoirs,F01
18357,supply vessel,F01
18358,various containing system,F01
18359,various containing systems,F01
18360,vehicle,F01
18361,blood distribution during exercise,B63
18362,computer system,B63
18363,distribution system,B63
18364,floating docks,B63
18365,gamma distribution,B63
18366,hydraulic assembly,B63
18367,hydraulic mechanism,B63
18368,lifting assembly,B63
18369,lifting mechanism,B63
18370,load distribution,B63
18371,load distribution device,B63
18372,load distribution system,B63
18373,load distribution unit,B63
18374,load handling system,B63
18375,load management system,B63
18376,load theory of attention,B63
18377,lockable swivel keel unit,B63
18378,perceptual load theory,B63
18379,ships anchor,B63
18380,steering ships,B63
18381,uniform load distribution,B63
18382,vessel,B63
18383,weight distribution system,B63
18384,weight sensors,B63
18385,winch,B63
18386,work load,B63
18387,132 kv load system,G01
18388,back up unit,G01
18389,beam load,G01
18390,better load distribution,G01
18391,concentration of the substance,G01
18392,current distribution system,G01
18393,load balancing system,G01
18394,load bearing structure,G01
18395,load distribution,G01
18396,load distribution machine,G01
18397,load dose,G01
18398,load factor distribution system,G01
18399,load runner,G01
18400,load sharing equipment,G01
18401,money distribution,G01
18402,phase load balancing,G01
18403,platelet concentrate,G01
18404,power circuit,G01
18405,statistical processing,G01
18406,system design,G01
18407,undisturbed data,G01
18408,uniform load distribution,G01
18409,voltage distribution,G01
18410,aircraft formation,A47
18411,coil form,A47
18412,component to secure,A47
18413,element to secure,A47
18414,engaging protrusions,A47
18415,inter locking portions,A47
18416,latching formation,A47
18417,leg,A47
18418,line formation,A47
18419,lock screen,A47
18420,locking junction,A47
18421,locking part,A47
18422,locking point,A47
18423,locking portion,A47
18424,main formation,A47
18425,main portion,A47
18426,part to secure,A47
18427,railway formation,A47
18428,secure lock,A47
18429,secure module,A47
18430,soil formation,A47
18431,unlocking element,A47
18432,anchoring,B23
18433,ball end,B23
18434,central locking programming,B23
18435,cotter pins,B23
18436,coupling,B23
18437,eye rust formation,B23
18438,formation flight,B23
18439,interlocking formation,B23
18440,laser beam welding,B23
18441,latch,B23
18442,lock,B23
18443,lock element,B23
18444,lock member,B23
18445,lock washer,B23
18446,locking,B23
18447,locking element,B23
18448,locking formation,B23
18449,locking formations,B23
18450,locking member,B23
18451,locking protocol,B23
18452,locking system,B23
18453,pattern,B23
18454,remote locking programming,B23
18455,respective formation,B23
18456,sealing formation,B23
18457,securing formation,B23
18458,soil formation,B23
18459,spray type flux applying device,B23
18460,twist drill,B23
18461,ball end,B24
18462,lock,B24
18463,lock element,B24
18464,lock member,B24
18465,locking,B24
18466,locking element,B24
18467,locking member,B24
18468,catch,B60
18469,clamping formation,B60
18470,formation,B60
18471,locking,B60
18472,locking element,B60
18473,locking member,B60
18474,locking portion,B60
18475,retaining element,B60
18476,acoustic output speakers,H04
18477,acoustic output transducers,H04
18478,acoustic signal,H04
18479,acoustic transducers,H04
18480,acoustic transducers speakers,H04
18481,array brackets,H04
18482,array declaration,H04
18483,array of bangles,H04
18484,array of speaker,H04
18485,array variable,H04
18486,arrays,H04
18487,diaphragm arrangement,H04
18488,directional output speakers,H04
18489,directional output transducers,H04
18490,directional transducers,H04
18491,directional transducers speakers,H04
18492,loudspeaker line array,H04
18493,loudspeaker system,H04
18494,loudspeakers,H04
18495,loudspeakers arrangement,H04
18496,multiple loudspeaker,H04
18497,number array,H04
18498,plurality of loudspeakers arranged,H04
18499,series of loudspeakers,H04
18500,series of sound transducers,H04
18501,speaker transducers,H04
18502,speaker types,H04
18503,speakers,H04
18504,speakers transducers,H04
18505,string array,H04
18506,transducers,H04
18507,voice coil,H04
18508,battery temperature,H01
18509,charge sheet,H01
18510,charging port,H01
18511,charging rate soc,H01
18512,deep discharge state,H01
18513,determine soc,H01
18514,estimated soc,H01
18515,high soc,H01
18516,high temperature,H01
18517,input terminal,H01
18518,low,H01
18519,low blood pressure,H01
18520,low carbohydrate diet,H01
18521,low charging,H01
18522,low rate discharge,H01
18523,low state of charge,H01
18524,low sugar,H01
18525,lower charge current,H01
18526,maximum soc,H01
18527,overvoltage,H01
18528,power activity,H01
18529,security operation center,H01
18530,soc,H01
18531,soc device,H01
18532,soc estimation,H01
18533,state of charge indicator,H01
18534,state of health,H01
18535,turning capacitor,H01
18536,wide temperature,H01
18537,bottom stretches,F03
18538,consist of stretches,F03
18539,higher ends,F03
18540,leg stretch,F03
18541,linear stretches,F03
18542,low stretches,F03
18543,lower ends,F03
18544,lowering stretches,F03
18545,lowers sides,F03
18546,motor pathway,F03
18547,plantar fasciitis stretches,F03
18548,revving,F03
18549,straight stretches,F03
18550,stretch engine,F03
18551,stretcher,F03
18552,stretches,F03
18553,stretches for legs,F03
18554,timing belt stretch,F03
18555,timing chain stretch,F03
18556,top position,F03
18557,top stretches,F03
18558,upper stretch,F03
18559,upper stretches,F03
18560,air bag protection for car occupants,B60
18561,center of mass,B60
18562,cylindrical protrusion,B60
18563,elevation,B60
18564,internal casting,B60
18565,lower abdominal pain,B60
18566,lower axial bearing,B60
18567,lower axial thrust,B60
18568,lower axially bearing,B60
18569,lower axially thrust,B60
18570,lower back pain,B60
18571,lower bearing,B60
18572,lower bearings,B60
18573,lower bearings bearing,B60
18574,lower chest exercises,B60
18575,lower cpu core,B60
18576,lower cylindrical trunnion,B60
18577,lower limbs,B60
18578,lower locating,B60
18579,lower shear,B60
18580,lower thrust,B60
18581,lower trunnion,B60
18582,lower trunnion arm,B60
18583,pivoting point,B60
18584,shaft,B60
18585,starting device for heavy vehicles,B60
18586,supports for tilting plate,B60
18587,trunnion bearings,B60
18588,trunnion system,B60
18589,upper trunnion,B60
18590,axis,B64
18591,bottom trunnion,B64
18592,clevis,B64
18593,hinge,B64
18594,lower frame,B64
18595,lower pin,B64
18596,lower support,B64
18597,lower yoke,B64
18598,pivot,B64
18599,pivot axis,B64
18600,pivot joint,B64
18601,shock trunnion,B64
18602,trunnion,B64
18603,upper trunnion,B64
18604,upper yoke,B64
18605,bottom trunnion,E02
18606,lower identical mounting,E02
18607,lower identical trunnion,E02
18608,lower pin,E02
18609,lower trunnion mounting,E02
18610,lower trunnions,E02
18611,trunnion,E02
18612,trunnions,E02
18613,auxiliary pump,F16
18614,bearing member,F16
18615,bottom most trunnion,F16
18616,bottom trunnion,F16
18617,frame saw frame,F16
18618,hinge pin,F16
18619,intermediate trunnion,F16
18620,lower abdominal pain,F16
18621,lower arm bones,F16
18622,lower axle support,F16
18623,lower back pain,F16
18624,lower endoscopy,F16
18625,lower housing,F16
18626,lower limb,F16
18627,lower pivot,F16
18628,lower pivot housing,F16
18629,lower threaded,F16
18630,lower trunnion,F16
18631,lower trunnions,F16
18632,lower turnover,F16
18633,pivot shaft,F16
18634,rocker arm,F16
18635,self aligning bearing,F16
18636,supportive,F16
18637,trunnion,F16
18638,trunnion system,F16
18639,under trunnion,F16
18640,appliance end,B41
18641,base,B41
18642,end plate,B41
18643,end user,B41
18644,illustration process,B41
18645,inner end,B41
18646,inner surface,B41
18647,jetting mechanism,B41
18648,knott end,B41
18649,liquid discharge head,B41
18650,machine,B41
18651,machine end,B41
18652,machine end frame,B41
18653,machine ends,B41
18654,machine language,B41
18655,machine learning,B41
18656,machine system,B41
18657,machinery end,B41
18658,machining ends,B41
18659,outer end,B41
18660,outer surface,B41
18661,platen member,B41
18662,printing cylinder sleeve,B41
18663,remainder,B41
18664,year end,B41
18665,apparatus end,E21
18666,device end,E21
18667,digging machine,E21
18668,ecg machine,E21
18669,equipment edge,E21
18670,hardware component,E21
18671,hemodialysis machine,E21
18672,hydraulic sliding sleeve switch tool,E21
18673,instrument corner,E21
18674,lower end,E21
18675,lower portion,E21
18676,machine end,E21
18677,machine learning,E21
18678,machine surface,E21
18679,machine system,E21
18680,network device,E21
18681,peritoneal dialysis machine,E21
18682,pick tool,E21
18683,router edge,E21
18684,underground excavation,E21
18685,unit end,E21
18686,upper end,E21
18687,upright drilling machine,E21
18688,collar,A47
18689,magnetic,A47
18690,magnetic actuated,A47
18691,magnetic magnetically actuated,A47
18692,magnetically activated,A47
18693,sealed,A47
18694,single magnetically actuated,A47
18695,electro magnetically actuated,A63
18696,blood actuated valve,F02
18697,electromechanical portion,F02
18698,exhaust gas cleaning device,F02
18699,field marshal,F02
18700,magnetic actuation system,F02
18701,magnetic catheters,F02
18702,magnetic field,F02
18703,magnetic system,F02
18704,magnetically activated,F02
18705,magnetically actuated,F02
18706,magnetically actuated drugs,F02
18707,magnetically actuated reed,F02
18708,magnetically energized,F02
18709,magnetically equivalent aromatic protons,F02
18710,magnetically equivalent protons,F02
18711,operate prefix,F02
18712,reed diffuser,F02
18713,sensor element resistance,F02
18714,two stroke ic engine,F02
18715,auto ventilation fan,F04
18716,blood actuated valve tongue,F04
18717,compressor integral with inverter,F04
18718,flux conductors,F04
18719,magnetic field,F04
18720,magnetic wireless charger,F04
18721,magnetically actuated,F04
18722,magnetically actuated circuit breaker,F04
18723,magnetically actuated motion,F04
18724,magnetically actuated pilot valve,F04
18725,magnetically actuated proximity switch,F04
18726,magnetically actuated reciprocating device,F04
18727,magnetically actuated reed,F04
18728,magnetically actuated switch,F04
18729,magnetically actuated valve,F04
18730,magnetically equivalent protons,F04
18731,magnetically hard materials,F04
18732,magnetically levitated train,F04
18733,proximity sensors,F04
18734,radial flow impeller,F04
18735,signal of blood actuated,F04
18736,electro magnetically actuated,F16
18737,magnetically actuated switch,G07
18738,magnetic,H01
18739,magnetically actuated switch,H01
18740,solenoid,H01
18741,switching,H01
18742,arterial road,E01
18743,branch lane,E01
18744,bus,E01
18745,intersecting road,E01
18746,lane,E01
18747,left turn lane,E01
18748,liquid filler,E01
18749,main chart,E01
18750,main device,E01
18751,main door,E01
18752,main gate,E01
18753,main lanes,E01
18754,main road,E01
18755,major lane,E01
18756,major route,E01
18757,right turn lane,E01
18758,roadway,E01
18759,subsidiary lane,E01
18760,trunk line,E01
18761,viscous liquid,E01
18762,branch stub,G08
18763,car path,G08
18764,cross chain,G08
18765,cross road,G08
18766,entry lane,G08
18767,exiting lane,G08
18768,highway,G08
18769,intersection,G08
18770,lane,G08
18771,left turn lane,G08
18772,main,G08
18773,main control circuit,G08
18774,main device,G08
18775,main pointer,G08
18776,main road,G08
18777,merging lane,G08
18778,merging region,G08
18779,multi lane,G08
18780,one way road lane,G08
18781,right angle,G08
18782,right lane,G08
18783,road,G08
18784,turn lane,G08
18785,two wheeler,G08
18786,vehicle,G08
18787,vehicle lane,G08
18788,backbone,G03
18789,configuration,G03
18790,configuration system,G03
18791,human backbone,G03
18792,linear,G03
18793,linear configuration,G03
18794,linear equation,G03
18795,linear main,G03
18796,linear operators,G03
18797,main,G03
18798,main arrangement,G03
18799,main door,G03
18800,main entrance,G03
18801,main line,G03
18802,main linear plane,G03
18803,main plane,G03
18804,main portion,G03
18805,main straight,G03
18806,modular guideway,G03
18807,non linear,G03
18808,predetermined,G03
18809,secondary linear,G03
18810,substantially horizontal,G03
18811,substantially linear,G03
18812,two dimensional array configuration,G03
18813,undeviated plane,G03
18814,wave modulator,G03
18815,continuous wave,H01
18816,eu laser,H01
18817,eu light,H01
18818,heart rate,H01
18819,laser,H01
18820,laser cutting,H01
18821,laser device,H01
18822,laser light,H01
18823,laser treatment,H01
18824,light generating,H01
18825,main gate,H01
18826,main laser,H01
18827,main laser beam,H01
18828,main processing,H01
18829,main pulse,H01
18830,main pulsed,H01
18831,main pulsed laser,H01
18832,main pulsed laser light,H01
18833,narrow beam,H01
18834,output main pulse,H01
18835,output main pulse laser,H01
18836,output main pulsed laser,H01
18837,output pulse,H01
18838,output pulse laser,H01
18839,output pulsed laser,H01
18840,photons,H01
18841,pulse,H01
18842,pulse laser,H01
18843,pulse laser device,H01
18844,pulse laser oscillator,H01
18845,pulse processing,H01
18846,pulse rate,H01
18847,pulsed diode laser,H01
18848,pulsed laser,H01
18849,pulsed laser beam,H01
18850,pulsed light,H01
18851,radar,H01
18852,sub pulse,H01
18853,sub pulse laser,H01
18854,sub pulsed laser,H01
18855,ultra short pulse laser,H01
18856,anti pulse laser,H05
18857,combination pulse main laser,H05
18858,laser,H05
18859,laser beam,H05
18860,laser cut,H05
18861,laser cutting,H05
18862,laser oscillator,H05
18863,laser printer,H05
18864,laser pulse,H05
18865,laser treatment,H05
18866,laser welding,H05
18867,main laser,H05
18868,main laser beam,H05
18869,main pulse,H05
18870,main pulse beam,H05
18871,main pulsed laser,H05
18872,post pulse beam,H05
18873,post pulse laser,H05
18874,post pulsed beam,H05
18875,post pulsed laser,H05
18876,pre pulse,H05
18877,pre pulse laser,H05
18878,pulse,H05
18879,pulse beam,H05
18880,pulse laser,H05
18881,pulse laser beam,H05
18882,pulse laser device,H05
18883,pulse laser oscillator,H05
18884,pulse rate,H05
18885,pulse width,H05
18886,pulsed diode laser,H05
18887,pulsed laser light,H05
18888,pulsed light,H05
18889,radar,H05
18890,ultra short pulse laser,H05
18891,air level,C10
18892,air pressure,C10
18893,blood level,C10
18894,control oxygen deficiency,C10
18895,ensure oxygen level,C10
18896,ensuring oxygen level,C10
18897,glucose level,C10
